product_id,product_name,category,price
101,Product_101,Furniture,63161
102,Product_102,Furniture,39123
103,Product_103,Electronics,78060
104,Product_104,Furniture,69219
105,Product_105,Electronics,21339
106,Product_106,Electronics,38820
107,Product_107,Furniture,55357
108,Product_108,Clothing,8193
109,Product_109,Furniture,73187
110,Product_110,Clothing,48013
111,Product_111,Furniture,78617
112,Product_112,Electronics,37226
113,Product_113,Appliances,24204
114,Product_114,Furniture,41772
115,Product_115,Appliances,78551
116,Product_116,Appliances,19861
117,Product_117,Furniture,44964
118,Product_118,Electronics,69928
119,Product_119,Clothing,73031
120,Product_120,Clothing,13837
